codice,descrizione,nd,nd1
10620,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),,
106200,Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais),,
107,PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI,,
1071,Produzione di pane; prodotti di pasticceria freschi,,
10711,Produzione di prodotti di panetteria freschi,,
107110,Produzione di prodotti di panetteria freschi,,
10712,Produzione di pasticceria fresca,,
107120,Produzione di pasticceria fresca,,
1072,Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati,,
10720,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",,
107200,"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati",,
1073,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,
10730,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,
107300,"Produzione di paste alimentari, di cuscus e di prodotti farinacei simili",,
108,PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI,,
1081,Produzione di zucchero,,
10810,Produzione di zucchero,,
108100,Produzione di zucchero,,
1082,"Produzione di cacao, cioccolato, caramelle e confetterie",,
10820,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",,
108200,"Produzione di cacao in polvere, cioccolato, caramelle e confetterie",,
1083,Lavorazione del tè e del caffè,,
10830,Lavorazione del tè e del caffè,,
108301,Lavorazione del caffè,,
108302,Lavorazione del tè e di altri preparati per infusi,,
1084,Produzione di condimenti e spezie,,
10840,Produzione di condimenti e spezie,,
108400,Produzione di condimenti e spezie,,
1085,Produzione di pasti e piatti preparati,,
10850,"Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati)",,
108501,Produzione di piatti pronti a base di carne e pollame,,
108502,"Produzione di piatti pronti a base di pesce, inclusi fish and chips",,
108503,Produzione di piatti pronti a base di ortaggi,,
108504,Produzione di pizza confezionata,,
108505,Produzione di piatti pronti a base di pasta,,
108509,Produzione di pasti e piatti pronti di altri prodotti alimentari,,
1086,Produzione di preparati omogeneizzati e di alimenti dietetici,,
10860,Produzione di preparati omogeneizzati e di alimenti dietetici,,
108600,Produzione di preparati omogeneizzati e di alimenti dietetici,,
1089,Produzione di prodotti alimentari nca,,
10890,Produzione di prodotti alimentari nca,,
108901,Produzione di estratti e succhi di carne,,
108909,Produzione di altri prodotti alimentari nca,,
109,PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI,,
1091,Produzione di mangimi per l'alimentazione degli animali da allevamento,,
10910,Produzione di mangimi per l'alimentazione degli animali da allevamento,,
109100,Produzione di mangimi per l'alimentazione degli animali da allevamento,,
1092,Produzione di prodotti per l'alimentazione degli animali da compagnia,,
10920,Produzione di prodotti per l'alimentazione degli animali da compagnia,,
109200,Produzione di prodotti per l'alimentazione degli animali da compagnia,,
11,INDUSTRIA DELLE BEVANDE,,
110,INDUSTRIA DELLE BEVANDE,,
1101,"Distillazione, rettifica e miscelatura degli alcolici",,
11010,"Distillazione, rettifica e miscelatura degli alcolici",,
110100,"Distillazione, rettifica e miscelatura degli alcolici",,
1102,Produzione di vini da uve,,
11021,Produzione di vini da tavola e v.q.p.r.d.,,
110210,Produzione di vini da tavola e v.q.p.r.d.,,
11022,Produzione di vino spumante e altri vini speciali,,
110220,Produzione di vino spumante e altri vini speciali,,
1103,Produzione di sidro e di altri vini a base di frutta,,
11030,Produzione di sidro e di altri vini a base di frutta,,
110300,Produzione di sidro e di altri vini a base di frutta,,
1104,Produzione di altre bevande fermentate non distillate,,
11040,Produzione di altre bevande fermentate non distillate,,
110400,Produzione di altre bevande fermentate non distillate,,
1105,Produzione di birra,,
11050,Produzione di birra,,
110500,Produzione di birra,,
1106,Produzione di malto,,
11060,Produzione di malto,,
110600,Produzione di malto,,
1107,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,
11070,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,
110700,"Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia",,
12,INDUSTRIA DEL TABACCO,,
120,INDUSTRIA DEL TABACCO,,
1200,Industria del tabacco,,
12000,Industria del tabacco,,
120000,Industria del tabacco,,
13,INDUSTRIE TESSILI,,
131,PREPARAZIONE E FILATURA DI FIBRE TESSILI,,
1310,Preparazione e filatura di fibre tessili,,
13100,Preparazione e filatura di fibre tessili,,
131000,Preparazione e filatura di fibre tessili,,
132,TESSITURA,,
1320,Tessitura,,
13200,Tessitura,,
132000,Tessitura,,
133,FINISSAGGIO DEI TESSILI,,
1330,Finissaggio dei tessili,,
13300,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",,
133000,"Finissaggio dei tessili, degli articoli di vestiario e attività similari",,
139,ALTRE INDUSTRIE TESSILI,,
1391,Fabbricazione di tessuti a maglia,,
13910,Fabbricazione di tessuti a maglia,,
139100,Fabbricazione di tessuti a maglia,,
1392,Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento),,
13921,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",,
139210,"Confezionamento di biancheria da letto, da tavola e per l'arredamento",,
13922,Fabbricazione di articoli in materie tessili nca,,
139220,Fabbricazione di articoli in materie tessili nca,,
1393,Fabbricazione di tappeti e moquette,,
13930,Fabbricazione di tappeti e moquette,,
139300,Fabbricazione di tappeti e moquette,,
1394,"Fabbricazione di spago, corde, funi e reti",,
13940,"Fabbricazione di spago, corde, funi e reti",,
139400,"Fabbricazione di spago, corde, funi e reti",,
1395,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,
13950,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,
139500,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento),,
1396,Fabbricazione di articoli tessili tecnici ed industriali,,
13961,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",,
139610,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili",,
13962,Fabbricazione di altri articoli tessili tecnici ed industriali,,
139620,Fabbricazione di altri articoli tessili tecnici ed industriali,,
1399,Fabbricazione di altri prodotti tessili nca,,
13991,Fabbricazione di ricami,,
139910,Fabbricazione di ricami,,
13992,"Fabbricazione di tulle, pizzi e merletti",,
139920,"Fabbricazione di tulle, pizzi e merletti",,
13999,Fabbricazione di feltro e articoli tessili diversi,,
139990,Fabbricazione di feltro e articoli tessili diversi,,
14,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA,,
141,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA),,
1411,Confezione di abbigliamento in pelle,,
14110,Confezione di abbigliamento in pelle e similpelle,,
141100,Confezione di abbigliamento in pelle e similpelle,,
1412,Confezione di indumenti da lavoro,,
14120,"Confezione di camici, divise ed altri indumenti da lavoro",,
141200,"Confezione di camici, divise ed altri indumenti da lavoro",,
1413,Confezione di altro abbigliamento esterno,,
14131,Confezione in serie di abbigliamento esterno,,
141310,Confezione in serie di abbigliamento esterno,,
14132,Sartoria e confezione su misura di abbigliamento esterno,,
141320,Sartoria e confezione su misura di abbigliamento esterno,,
1414,Confezione di biancheria intima,,
14140,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima",,
141400,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima",,
1419,Confezione di altri articoli di abbigliamento ed accessori,,
14191,Confezioni varie e accessori per l'abbigliamento,,
141910,Confezioni varie e accessori per l'abbigliamento,,
14192,Confezioni di abbigliamento sportivo o indumenti particolari,,
141921,Fabbricazione di calzature realizzate in materiale tessile senza suole applicate,,
141929,Confezioni di abbigliamento sportivo o di altri indumenti particolari,,
142,CONFEZIONE DI ARTICOLI IN PELLICCIA,,
1420,Confezione di articoli in pelliccia,,
14200,Confezione di articoli in pelliccia,,
142000,Confezione di articoli in pelliccia,,
143,FABBRICAZIONE DI ARTICOLI DI MAGLIERIA,,
1431,Fabbricazione di articoli di calzetteria in maglia,,
14310,Fabbricazione di articoli di calzetteria in maglia,,
143100,Fabbricazione di articoli di calzetteria in maglia,,
1439,Fabbricazione di altri articoli di maglieria,,
14390,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia",,
143900,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia",,
