codice,descrizione,nd,nd1
245,FONDERIE,,
2451,Fusione di ghisa,,
24510,Fusione di ghisa e produzione di tubi e raccordi in ghisa,,
245100,Fusione di ghisa e produzione di tubi e raccordi in ghisa,,
2452,Fusione di acciaio,,
24520,Fusione di acciaio,,
245200,Fusione di acciaio,,
2453,Fusione di metalli leggeri,,
24530,Fusione di metalli leggeri,,
245300,Fusione di metalli leggeri,,
2454,Fusione di altri metalli non ferrosi,,
24540,Fusione di altri metalli non ferrosi,,
245400,Fusione di altri metalli non ferrosi,,
25,FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE),,
251,FABBRICAZIONE DI ELEMENTI DA COSTRUZIONE IN METALLO,,
2511,Fabbricazione di strutture metalliche e di parti di strutture,,
25110,Fabbricazione di strutture metalliche e parti assemblate di strutture,,
251100,Fabbricazione di strutture metalliche e parti assemblate di strutture,,
2512,Fabbricazione di porte e finestre in metallo,,
25121,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",,
251210,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici",,
25122,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili",,
251220,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili",,
252,"FABBRICAZIONE DI CISTERNE, SERBATOI, RADIATORI E CONTENITORI IN METALLO",,
2521,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,,
25210,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,,
252100,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale,,
2529,"Fabbricazione di altre cisterne, serbatoi e contenitori in metallo",,
25290,"Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione",,
252900,"Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione",,
253,FABBRICAZIONE DI GENERATORI DI VAPORE (ESCLUSI I CONTENITORI IN METALLO PER CALDAIE PER IL RISCALDAMENTO CENTRALE AD ACQUA CALDA),,
2530,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),,
25300,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),,
253000,Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda),,
254,FABBRICAZIONE DI ARMI E MUNIZIONI,,
2540,Fabbricazione di armi e munizioni,,
25400,Fabbricazione di armi e munizioni,,
254000,Fabbricazione di armi e munizioni,,
255,"FUCINATURA, IMBUTITURA, STAMPAGGIO E PROFILATURA DEI METALLI; METALLURGIA DELLE POLVERI",,
2550,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",,
25500,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",,
255000,"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri",,
256,TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORI DI MECCANICA GENERALE,,
2561,Trattamento e rivestimento dei metalli,,
25610,Trattamento e rivestimento dei metalli,,
256100,Trattamento e rivestimento dei metalli,,
2562,Lavori di meccanica generale,,
25620,Lavori di meccanica generale,,
256200,Lavori di meccanica generale,,
257,"FABBRICAZIONE DI ARTICOLI DI COLTELLERIA, UTENSILI E OGGETTI DI FERRAMENTA",,
2571,Fabbricazione di articoli di coltelleria e posateria,,
25710,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche",,
257100,"Fabbricazione di articoli di coltelleria, posateria ed armi bianche",,
2572,Fabbricazione di serrature e cerniere,,
25720,Fabbricazione di serrature e cerniere e ferramenta simili,,
257200,Fabbricazione di serrature e cerniere e ferramenta simili,,
2573,Fabbricazione di utensileria,,
25731,Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili,,
257311,Fabbricazione di utensileria ad azionamento manuale,,
257312,Fabbricazione di parti intercambiabili per macchine utensili,,
25732,"Fabbricazione di stampi, portastampi, sagome, forme per macchine",,
257320,"Fabbricazione di stampi, portastampi, sagome, forme per macchine",,
259,FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO,,
2591,Fabbricazione di bidoni in acciaio e di contenitori analoghi,,
25910,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio,,
259100,Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio,,
2592,Fabbricazione di imballaggi leggeri in metallo,,
25920,Fabbricazione di imballaggi leggeri in metallo,,
259200,Fabbricazione di imballaggi leggeri in metallo,,
2593,"Fabbricazione di prodotti fabbricati con fili metallici, catene e molle",,
25931,Fabbricazione di prodotti fabbricati con fili metallici,,
259310,Fabbricazione di prodotti fabbricati con fili metallici,,
25932,Fabbricazione di molle,,
259320,Fabbricazione di molle,,
25933,Fabbricazione di catene fucinate senza saldatura e stampate,,
259330,Fabbricazione di catene fucinate senza saldatura e stampate,,
2594,Fabbricazione di articoli di bulloneria,,
25940,Fabbricazione di articoli di bulloneria,,
259400,Fabbricazione di articoli di bulloneria,,
2599,Fabbricazione di altri prodotti in metallo nca,,
25991,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno",,
259911,Fabbricazione di caraffe e bottiglie isolate in metallo,,
259919,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno",,
25992,"Fabbricazione di casseforti, forzieri e porte metalliche blindate",,
259920,"Fabbricazione di casseforti, forzieri e porte metalliche blindate",,
25993,"Fabbricazione di oggetti in ferro, in rame ed altri metalli",,
259930,"Fabbricazione di oggetti in ferro, in rame ed altri metalli",,
25999,Fabbricazione di altri articoli metallici e minuteria metallica,,
259991,Fabbricazione di magneti metallici permanenti,,
259999,Fabbricazione di altri articoli metallici e minuteria metallica nca,,
26,"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI",,
261,FABBRICAZIONE DI COMPONENTI ELETTRONICI E SCHEDE ELETTRONICHE,,
2611,Fabbricazione di componenti elettronici,,
26110,Fabbricazione di componenti elettronici,,
261101,"Fabbricazione di diodi, transistor e relativi congegni elettronici",,
261109,Fabbricazione di altri componenti elettronici,,
2612,Fabbricazione di schede elettroniche assemblate,,
26120,Fabbricazione di schede elettroniche assemblate,,
261200,Fabbricazione di schede elettroniche assemblate,,
262,FABBRICAZIONE DI COMPUTER E UNITÀ PERIFERICHE,,
2620,Fabbricazione di computer e unità periferiche,,
26200,Fabbricazione di computer e unità periferiche,,
262000,Fabbricazione di computer e unità periferiche,,
263,FABBRICAZIONE DI APPARECCHIATURE PER LE TELECOMUNICAZIONI,,
2630,Fabbricazione di apparecchiature per le telecomunicazioni,,
26301,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere),,
263010,Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere),,
26302,Fabbricazione di apparecchi elettrici ed elettronici per telecomunicazioni,,
263021,Fabbricazione di sistemi antifurto e antincendio,,
263029,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni,,
264,FABBRICAZIONE DI PRODOTTI DI ELETTRONICA DI CONSUMO AUDIO E VIDEO,,
2640,Fabbricazione di prodotti di elettronica di consumo audio e video,,
26400,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,,
264001,Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini,,
264002,Fabbricazione di console per videogiochi (esclusi i giochi elettronici),,
265,"FABBRICAZIONE DI STRUMENTI E APPARECCHI DI MISURAZIONE, PROVA E NAVIGAZIONE; OROLOGI",,
2651,"Fabbricazione di strumenti e apparecchi di misurazione, prova e navigazione (esclusi quelli ottici)",,
26511,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",,
265110,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia",,
26512,"Fabbricazione di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione, di apparecchi di misura e regolazione (incluse parti staccate e accessori)",,
265121,"Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector",,
265129,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",,
2652,Fabbricazione di orologi,,
26520,Fabbricazione di orologi,,
265200,Fabbricazione di orologi,,
266,"FABBRICAZIONE DI STRUMENTI PER IRRADIAZIONE, APPARECCHIATURE ELETTROMEDICALI ED ELETTROTERAPEUTICHE",,
2660,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",,
26600,"Fabbricazione di strumenti per irradiazione, apparecchiature elettromedicali ed elettroterapeutiche",,
266001,Fabbricazione di apparecchiature di irradiazione per alimenti e latte,,
266002,Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori),,
266009,Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche,,
267,FABBRICAZIONE DI STRUMENTI OTTICI E ATTREZZATURE FOTOGRAFICHE,,
2670,Fabbricazione di strumenti ottici e attrezzature fotografiche,,
26701,"Fabbricazione di elementi ottici e strumenti ottici di misura, controllo e precisione",,
267011,Fabbricazione di elementi ottici e strumenti ottici di precisione,,
267012,Fabbricazione di attrezzature ottiche di misurazione e controllo,,
26702,Fabbricazione di apparecchiature fotografiche e cinematografiche,,
267020,Fabbricazione di apparecchiature fotografiche e cinematografiche,,
268,FABBRICAZIONE DI SUPPORTI MAGNETICI ED OTTICI,,
2680,Fabbricazione di supporti magnetici ed ottici,,
26800,Fabbricazione di supporti magnetici ed ottici,,
268000,Fabbricazione di supporti magnetici ed ottici,,
27,FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATURE PER USO DOMESTICO NON ELETTRICHE,,
271,"FABBRICAZIONE DI MOTORI, GENERATORI E TRASFORMATORI ELETTRICI E DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITÀ",,
2711,"Fabbricazione di motori, generatori e trasformatori elettrici",,
27110,"Fabbricazione di motori, generatori e trasformatori elettrici",,
271100,"Fabbricazione di motori, generatori e trasformatori elettrici",,
2712,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,
27120,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,
271200,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità,,
272,FABBRICAZIONE DI BATTERIE DI PILE ED ACCUMULATORI ELETTRICI,,
2720,Fabbricazione di batterie di pile ed accumulatori elettrici,,
27200,Fabbricazione di batterie di pile ed accumulatori elettrici,,
272000,Fabbricazione di batterie di pile ed accumulatori elettrici,,
273,FABBRICAZIONE DI CABLAGGI E APPARECCHIATURE DI CABLAGGIO,,
2731,Fabbricazione di cavi a fibra ottica,,
27310,Fabbricazione di cavi a fibra ottica,,
273101,Fabbricazione di cavi a fibra ottica per la trasmissione di dati o di immagini,,
273102,Fabbricazione di fibre ottiche,,
2732,Fabbricazione di altri fili e cavi elettrici ed elettronici,,
27320,Fabbricazione di altri fili e cavi elettrici ed elettronici,,
273200,Fabbricazione di altri fili e cavi elettrici ed elettronici,,
2733,Fabbricazione di attrezzature per cablaggio,,
27330,Fabbricazione di attrezzature per cablaggio,,
273301,Fabbricazione di apparecchiature in plastica non conduttiva,,
273309,Fabbricazione di altre attrezzature per cablaggio,,
274,FABBRICAZIONE DI APPARECCHIATURE PER ILLUMINAZIONE,,
2740,Fabbricazione di apparecchiature per illuminazione,,
27400,Fabbricazione di apparecchiature per illuminazione,,
274001,Fabbricazione di apparecchiature di illuminazione e segnalazione per mezzi di trasporto,,
274009,Fabbricazione di altre apparecchiature per illuminazione,,
275,FABBRICAZIONE DI APPARECCHI PER USO DOMESTICO,,
2751,Fabbricazione di elettrodomestici,,
27510,Fabbricazione di elettrodomestici,,
275100,Fabbricazione di elettrodomestici,,
2752,Fabbricazione di apparecchi per uso domestico non elettrici,,
27520,Fabbricazione di apparecchi per uso domestico non elettrici,,
275200,Fabbricazione di apparecchi per uso domestico non elettrici,,
279,FABBRICAZIONE DI ALTRE APPARECCHIATURE ELETTRICHE,,
2790,Fabbricazione di altre apparecchiature elettriche,,
27900,Fabbricazione di altre apparecchiature elettriche,,
279001,Fabbricazione di apparecchiature elettriche per saldature e brasature,,
279002,Fabbricazione di insegne elettriche e apparecchiature elettriche di segnalazione,,
279003,"Fabbricazione di capacitori elettrici, resistenze, condensatori e simili, acceleratori",,
279009,Fabbricazione di altre apparecchiature elettriche nca,,
28,FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,,
281,FABBRICAZIONE DI MACCHINE DI IMPIEGO GENERALE,,
2811,"Fabbricazione di motori e turbine (esclusi i motori per aeromobili, veicoli e motocicli)",,
28111,Fabbricazione di motori a combustione interna (incluse parti e accessori ed esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),,
281111,Fabbricazione di motori a combustione interna (esclusi i motori destinati ai mezzi di trasporto su strada e ad aeromobili),,
281112,"Fabbricazione di pistoni, fasce elastiche, carburatori e parti simili di motori a combustione interna",,
28112,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),,
281120,Fabbricazione di turbine e turboalternatori (incluse parti e accessori),,
2812,Fabbricazione di apparecchiature fluidodinamiche,,
28120,Fabbricazione di apparecchiature fluidodinamiche,,
281200,Fabbricazione di apparecchiature fluidodinamiche,,
2813,Fabbricazione di altre pompe e compressori,,
28130,Fabbricazione di altre pompe e compressori,,
281300,Fabbricazione di altre pompe e compressori,,
2814,Fabbricazione di altri rubinetti e valvole,,
28140,Fabbricazione di altri rubinetti e valvole,,
281400,Fabbricazione di altri rubinetti e valvole,,
2815,"Fabbricazione di cuscinetti, ingranaggi e organi di trasmissione (esclusi quelli idraulici)",,
28151,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",,
281510,"Fabbricazione di organi di trasmissione (esclusi quelli idraulici e quelli per autoveicoli, aeromobili e motocicli)",,
28152,Fabbricazione di cuscinetti a sfere,,
281520,Fabbricazione di cuscinetti a sfere,,
282,FABBRICAZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE,,
2821,"Fabbricazione di forni, bruciatori e sistemi di riscaldamento",,
28211,"Fabbricazione di forni, fornaci e bruciatori",,
282110,"Fabbricazione di forni, fornaci e bruciatori",,
28212,Fabbricazione di sistemi di riscaldamento,,
282121,Fabbricazione di caldaie per riscaldamento,,
282129,Fabbricazione di altri sistemi per riscaldamento,,
2822,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,,
28220,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,,
282201,"Fabbricazione di ascensori, montacarichi e scale mobili",,
282202,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli",,
282203,Fabbricazione di carriole,,
282209,Fabbricazione di altre macchine e apparecchi di sollevamento e movimentazione,,
2823,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),,
28230,Fabbricazione di macchine ed attrezzature per ufficio (esclusi computer e unità periferiche),,
282301,Fabbricazione di cartucce toner,,
282309,Fabbricazione di macchine ed altre attrezzature per ufficio (esclusi computer e periferiche),,
2824,Fabbricazione di utensili portatili a motore,,
28240,Fabbricazione di utensili portatili a motore,,
282400,Fabbricazione di utensili portatili a motore,,
2825,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,,
28250,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi,,
282500,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione; fabbricazione di condizionatori domestici fissi,,
2829,Fabbricazione di altre macchine di impiego generale nca,,
28291,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),,
282910,Fabbricazione di bilance e di macchine automatiche per la vendita e la distribuzione (incluse parti staccate e accessori),,
28292,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",,
282920,"Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)",,
28293,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",,
282930,"Fabbricazione di macchine automatiche per la dosatura, la confezione e per l'imballaggio (incluse parti e accessori)",,
28299,Fabbricazione di macchine di impiego generale ed altro materiale meccanico nca,,
282991,Fabbricazione di apparecchi per depurare e filtrare liquidi e gas per uso non domestico,,
282992,Fabbricazione di macchine per la pulizia (incluse le lavastoviglie) per uso non domestico,,
282993,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica (esclusi quelli ottici)",,
282999,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale nca,,
283,FABBRICAZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA,,
2830,Fabbricazione di macchine per l'agricoltura e la silvicoltura,,
28301,Fabbricazione di trattori agricoli,,
283010,Fabbricazione di trattori agricoli,,
28309,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",,
283090,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",,
284,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI,,
2841,Fabbricazione di macchine utensili per la formatura dei metalli,,
28410,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),,
284100,Fabbricazione di macchine utensili per la formatura dei metalli (incluse parti e accessori ed escluse le parti intercambiabili),,
2849,Fabbricazione di altre macchine utensili,,
28490,Fabbricazione di altre macchine utensili (incluse parti e accessori),,
284901,Fabbricazione di macchine per la galvanostegia,,
284909,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,,
289,FABBRICAZIONE DI ALTRE MACCHINE PER IMPIEGHI SPECIALI,,
2891,Fabbricazione di macchine per la metallurgia,,
28910,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),,
289100,Fabbricazione di macchine per la metallurgia (incluse parti e accessori),,
2892,"Fabbricazione di macchine da miniera, cava e cantiere",,
28920,"Fabbricazione di macchine da miniera, cava e cantiere (incluse parti e accessori)",,
289201,"Fabbricazione di macchine per il trasporto a cassone ribaltabile per impiego specifico in miniere, cave e cantieri",,
289209,"Fabbricazione di altre macchine da miniera, cava e cantiere (incluse parti e accessori)",,
2893,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",,
28930,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",,
289300,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco (incluse parti e accessori)",,
2894,"Fabbricazione di macchine per le industrie tessili, dell'abbigliamento e del cuoio (incluse parti e accessori)",,
28941,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",,
289410,"Fabbricazione di macchine tessili, di macchine e di impianti per il trattamento ausiliario dei tessili, di macchine per cucire e per maglieria (incluse parti e accessori)",,
28942,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",,
289420,"Fabbricazione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature (incluse parti e accessori)",,
28943,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),,
289430,Fabbricazione di apparecchiature e di macchine per lavanderie e stirerie (incluse parti e accessori),,
2895,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,
28950,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,
289500,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori),,
2896,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,
28960,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,
289600,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori),,
2899,Fabbricazione di macchine per impieghi speciali nca (incluse parti e accessori),,
28991,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),,
289910,Fabbricazione di macchine per la stampa e la legatoria (incluse parti e accessori),,
28992,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),,
289920,Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori),,
28993,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,,
289930,Fabbricazione di apparecchi per istituti di bellezza e centri di benessere,,
28999,Fabbricazione di altre macchine per impieghi speciali nca (incluse parti e accessori),,
289991,"Fabbricazione di apparecchiature per il lancio di aeromobili, catapulte per portaerei e apparecchiature simili",,
289992,"Fabbricazione di giostre, altalene ed altre attrezzature per parchi di divertimento",,
289993,Fabbricazione di apparecchiature per l'allineamento e il bilanciamento delle ruote; altre apparecchiature per il bilanciamento,,
289999,Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori),,
29,"FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",,
291,FABBRICAZIONE DI AUTOVEICOLI,,
2910,Fabbricazione di autoveicoli,,
29100,Fabbricazione di autoveicoli,,
291000,Fabbricazione di autoveicoli,,
292,"FABBRICAZIONE DI CARROZZERIE PER AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI",,
2920,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,
29200,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,
292000,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",,
293,FABBRICAZIONE DI PARTI ED ACCESSORI PER AUTOVEICOLI E LORO MOTORI,,
2931,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,
29310,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,
293100,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori,,
2932,Fabbricazione di altre parti ed accessori per autoveicoli,,
29320,Fabbricazione di altre parti ed accessori per autoveicoli,,
293201,Fabbricazione di sedili per autoveicoli,,
293209,Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca,,
30,FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO,,
301,COSTRUZIONE DI NAVI E IMBARCAZIONI,,
3011,Costruzione di navi e di strutture galleggianti,,
30110,Cantieri navali per costruzioni metalliche e non metalliche,,
301101,Fabbricazione di sedili per navi,,
301102,Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi),,
3012,Costruzione di imbarcazioni da diporto e sportive,,
30120,Costruzione di imbarcazioni da diporto e sportive,,
301200,Costruzione di imbarcazioni da diporto e sportive,,
302,COSTRUZIONE DI LOCOMOTIVE E DI MATERIALE ROTABILE FERRO-TRANVIARIO,,
3020,Costruzione di locomotive e di materiale rotabile ferro-tranviario,,
30200,"Costruzione di materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",,
302001,"Fabbricazione di sedili per tram, filovie e metropolitane",,
302002,"Costruzione di altro materiale rotabile ferroviario, tranviario, filoviario, per metropolitane e per miniere",,
303,"FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI",,
3030,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",,
30300,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi",,
303001,Fabbricazione di sedili per aeromobili,,
303002,Fabbricazione di missili balistici,,
303009,"Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca",,
304,FABBRICAZIONE DI VEICOLI MILITARI DA COMBATTIMENTO,,
3040,Fabbricazione di veicoli militari da combattimento,,
30400,Fabbricazione di veicoli militari da combattimento,,
304000,Fabbricazione di veicoli militari da combattimento,,
309,FABBRICAZIONE DI MEZZI DI TRASPORTO NCA,,
3091,Fabbricazione di motocicli (inclusi i motori),,
30911,Fabbricazione di motocicli e motoveicoli (inclusi i motori),,
309111,Fabbricazione di motori per motocicli,,
309112,Fabbricazione di motocicli,,
30912,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,,
309120,Fabbricazione di accessori e pezzi staccati per motocicli e ciclomotori,,
3092,Fabbricazione di biciclette e veicoli per invalidi,,
30921,Fabbricazione e montaggio di biciclette,,
309210,Fabbricazione e montaggio di biciclette,,
30922,Fabbricazione di parti ed accessori per biciclette,,
309220,Fabbricazione di parti ed accessori per biciclette,,
30923,Fabbricazione di veicoli per invalidi (incluse parti e accessori),,
309230,Fabbricazione di veicoli per invalidi (incluse parti e accessori),,
30924,Fabbricazione di carrozzine e passeggini per neonati,,
309240,Fabbricazione di carrozzine e passeggini per neonati,,
3099,Fabbricazione di altri mezzi di trasporto nca,,
30990,Fabbricazione di veicoli a trazione manuale o animale,,
309900,Fabbricazione di veicoli a trazione manuale o animale,,
31,FABBRICAZIONE DI MOBILI,,
310,FABBRICAZIONE DI MOBILI,,
3101,Fabbricazione di mobili per ufficio e negozi,,
31011,Fabbricazione di sedie e poltrone per ufficio e negozi,,
310110,Fabbricazione di sedie e poltrone per ufficio e negozi,,
31012,Fabbricazione di altri mobili per ufficio e negozi,,
310121,Fabbricazione di altri mobili metallici per ufficio e negozi,,
310122,Fabbricazione di altri mobili non metallici per ufficio e negozi,,
3102,Fabbricazione di mobili per cucina,,
31020,Fabbricazione di mobili per cucina,,
310200,Fabbricazione di mobili per cucina,,
3103,Fabbricazione di materassi,,
31030,Fabbricazione di materassi,,
310300,Fabbricazione di materassi,,
3109,Fabbricazione di altri mobili,,
31091,Fabbricazione di mobili per arredo domestico,,
310910,Fabbricazione di mobili per arredo domestico,,
31092,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",,
310920,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",,
31093,Fabbricazione di poltrone e divani,,
310930,Fabbricazione di poltrone e divani,,
31094,Fabbricazione di parti e accessori di mobili,,
310940,Fabbricazione di parti e accessori di mobili,,
31095,Finitura di mobili,,
310950,Finitura di mobili,,
31099,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),,
310990,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),,
32,ALTRE INDUSTRIE MANIFATTURIERE,,
321,"FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE",,
3211,Coniazione di monete,,
32110,Coniazione di monete,,
321100,Coniazione di monete,,
3212,Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi,,
32121,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,,
321210,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,,
32122,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,,
321220,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,,
3213,Fabbricazione di bigiotteria e articoli simili,,
32130,Fabbricazione di bigiotteria e articoli simili,,
321301,Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi),,
321309,Fabbricazione di bigiotteria e articoli simili nca,,
322,FABBRICAZIONE DI STRUMENTI MUSICALI,,
